date,forecast_revenue
2025-01-01,7105.068514190048
2025-01-02,6965.972127292873
2025-01-03,6826.244855584646
2025-01-04,7959.003693318258
2025-01-05,8162.173943770621
2025-01-06,7260.025794283122
2025-01-07,7245.493601857773
2025-01-08,7237.0714034029625
2025-01-09,7236.580959730603
2025-01-10,7167.975547583179
2025-01-11,8012.008332511357
2025-01-12,8184.782260746491
2025-01-13,7437.486690308723
2025-01-14,7408.911028180197
2025-01-15,7377.384156217162
2025-01-16,7356.984717172749
2025-01-17,7335.575605763337
2025-01-18,8071.492299840978
2025-01-19,8221.59963044431
2025-01-20,7443.413228886637
2025-01-21,7414.1672375959715
2025-01-22,7389.899915807676
2025-01-23,7376.456047709161
2025-01-24,7354.612051197591
2025-01-25,8086.571497190662
2025-01-26,8252.868716973877
2025-01-27,7484.371946336424
2025-01-28,7498.327632689839
2025-01-29,7515.940712595787
2025-01-30,7520.678569729114
2025-01-31,7517.0209101140745
2025-02-01,8147.9916223324635
2025-02-02,8376.944770915316
2025-02-03,7707.61401916699
2025-02-04,7733.260729846786
2025-02-05,7799.570243158762
2025-02-06,7812.384536878502
2025-02-07,7812.945666753468
2025-02-08,8420.884490883958
2025-02-09,8551.841480922905
2025-02-10,8191.496771539841
2025-02-11,8234.402290415526
2025-02-12,8267.54617880156
2025-02-13,8280.63165937684
2025-02-14,8275.734632919448
2025-02-15,8641.282863728115
2025-02-16,8898.416953440495
2025-02-17,8491.236393215215
2025-02-18,8441.436238462751
2025-02-19,8457.448383536977
2025-02-20,8453.724641381628
2025-02-21,8449.391664671366
2025-02-22,8985.068517124519
2025-02-23,9075.190119191368
2025-02-24,9029.904553562146
2025-02-25,8907.495066692049
2025-02-26,9001.476781273093
2025-02-27,8969.145474814217
2025-02-28,8970.326970664648
2025-03-01,9177.615151899805
2025-03-02,9280.148195107357
2025-03-03,9174.981129858254
2025-03-04,9150.261058773245
2025-03-05,9164.993263652133
2025-03-06,9167.078435170848
2025-03-07,9165.763136693977
2025-03-08,9423.47658756395
2025-03-09,9563.992824131426
2025-03-10,9337.431203451224
2025-03-11,9385.882225765394
2025-03-12,9423.734996386947
2025-03-13,9483.002980866888
2025-03-14,9482.151611914756
2025-03-15,9897.727527649906
2025-03-16,9792.92700166747
2025-03-17,9428.727294107175
2025-03-18,9590.082396502188
2025-03-19,9629.077812981652
2025-03-20,9644.925433311228
2025-03-21,9650.468344885752
2025-03-22,10000.883202431356
2025-03-23,9762.060023670878
2025-03-24,9521.86577573852
2025-03-25,9632.14505914932
2025-03-26,9657.204577537163
2025-03-27,9671.864520038675
2025-03-28,9679.441975990485
2025-03-29,10033.138771429882
2025-03-30,9774.462426427815
2025-03-31,9537.718065013754
